nom;commune;type_arrete;code_insee;nb_com;autre;departement;surface_ha;numero_arrete;gestionnaire;geocodage
MURATO 1;Murato;arrete ministeriel;2B172;1;;2B;210;;FDC 2B;42.5671895141,9.32704854356
OMITA;Manso;arrete du conseil executif;2B153;1;;2B;1378;07.61;ONF;42.3708830092,8.81890618067
SANTA GIULIA;Porto-Vecchio;arrete ministeriel;2A247;1;;2A;299;;FDC 2A;41.5924932873,9.25363087024
GOLFE DE VENTILEGNE;;;;2;Bonifacio, Figari;2A;894;;;
FIBIA;Palasca;arrete ministeriel;2B199;1;;2B;774;;FDC 2B;42.63006979,9.05733396893
KYRIE ELEISON;Ghisoni;arrete ministeriel;2B124;1;;2B;804;;FDC 2B;42.0908261041,9.21026781601
GOLFE DE PORTO;;;;7;Ota, Calenzana, Piana, Serriera, Partinello, Osani, Galéria;2A;1304;;;
ASCO;Asco;arrete du conseil executif;2B023;1;;2B;3301;06.16;ONCFS et Commune d'Asco;42.4346334244,8.99704854725
EMBOUCHURE DU TAVIGNANO;;;;2;Aléria, Ghisonaccia;2B;1640;;;
ROCCAPINA;Monacia-d'Aullène;arrete prefectoral;2A163;2;Monacia-d'Aullène, Sartène;2A;143;92-1250 ( b ) modifié par 04-1070;FDC 2A;41.5249319364,9.01194250381
GUAGNO;Guagno;arrete du conseil executif;2A131;1;;2A;926;10.06;FDC 2A;42.1783646694,8.98389627863
GOLFE D'AJACCIO;;;;5;Pietrosella, Coti-Chiavari, Albitreccia, Grosseto-Prugna, Ajaccio;2A;19995;;;
MURATO 2;Murato;arrete du conseil executif;2B172;1;;2B;77;sept-45;FDC 2B;42.5671895141,9.32704854356
CASACCIE;Zonza;arrete ministeriel;2A362;1;;2A;43;;FDC 2A;41.7213730193,9.26624005547
GROTT'AL MARE;Barrettali;arrete ministeriel;2B030;1;;2B;307;;FDC 2B;42.8731830827,9.36073943184
CASTELLUCCIO;Ajaccio;arrete ministeriel;2A004;1;;2A;174;;FDC 2A;41.9347926638,8.70132275974
BRUZZI;Pianottoli-Caldarello;arrete prefectoral;2A215;1;;2A;85;92-1250 ( c );FDC 2A;41.5046258305,9.04899145818
CASABIANDA;Aléria;arrete ministeriel;2B009;1;;2B;1774;;Sans gestionnaire;42.1059105058,9.495645512
IFANA;Santo Pietro di Tenda;arrete ministeriel;2B301;2;San-Gavino-di-Tenda, Santo-Pietro-di-Tenda;2B;1303;;FDC 2B;42.6530617344,9.15172283351
VACCIA CHIUVONU;Aullène;arrete du conseil executif;2A024;1;;2A;147;1102988;FDC 2A;41.8067898223,9.09266751602
VALLICIONI;Castiglione;arrete ministeriel;2B081;1;;2B;234;;FDC 2B;42.4094045132,9.11404108561
AULLÈNE-TACCA;Aullène;arrete du conseil executif;2A024;1;;2A;443;1102989;FDC 2A;41.8067898223,9.09266751602
VAL D'ESE;Ciamannacce;arrete du conseil executif;2A089;1;;2A;529;1205341;FDC 2A;41.9728664628,9.13846288557
MENTA;Quenza;arrete ministeriel;2A254;1;;2A;1019;;FDC 2A;41.8077584567,9.2009533879
VALLECALE;Vallecalle;arrete ministeriel;2B333;1;;2B;86;204;FDC 2B;42.5997369417,9.33661797877
CANALI PANTANICCI;Tolla;arrete ministeriel;2A326;1;;2A;151;;FDC 2A;41.9682067011,8.9690159805
GOLFE DE PORTO;;;;7;Ota, Calenzana, Piana, Serriera, Partinello, Osani, Galéria;;16068;;;
CERBICALE;Porto-vecchio;;2A247;1;;2A;5486;;;41.5924932873,9.25363087024
MANGIA SANGUE ESO;Serra-di-Ferro;arrete ministeriel;2A276;1;;2A;119;;FDC 2A;41.7410474334,8.81250812436
MILELLI;Ajaccio;arrete prefectoral;2A004;1;;2A;12;94-2148;FDC 2A;41.9347926638,8.70132275974
SAPARGHIONU;Olivese;arrete prefectoral;2A186;1;;2A;358;92-1250 (d);FDC 2A;41.8404362861,9.06885180924
LINGUIZZETTA;Linguizzetta;arrete ministeriel;2B143;1;;2B;350;;FDC 2B;42.2176450793,9.51024497679
PIEDICORTE-DI-GAGGIO;Piedicorte-di-Gaggio;arrete ministeriel;2B218;1;;2B;1240;2164;FDC 2B;42.2145192461,9.32336450937
DOLLE WAGNER;Bonifacio;arrete ministeriel;2A041;2;Bonifacio, Figari;2A;752;;FDC 2A;41.4354987425,9.18514890376
BONIFACIO;Bonifacio;;2A041;1;;2A;9015;;;41.4354987425,9.18514890376
PRESQU'ILE DE SAN DAMIANO;Borgo;arrete ministeriel;2B042;2;Borgo, Biguglia;2B;116;;FDC 2B;42.573930097,9.45690314359
